ID;SUPPLIER;"CARRIER NAME";INVOICE;"INVOICE NUMBER";"READY DATE";"VALIDATION DATE";"SHIPPING QUOTE";"PACKING LIST";"CUSTOMS DOCS";TRACKING;STATUS;id_claim;"PICKING DATE";CARRIER;INCOTERM;ROUTE;FREIGHT;"CUSTOMS CLEAR";"IMPORT DUTIES";"DELIVERY DATE";COMMENTS
24;84;UPS;398.90;N;2025-01-20;2025-01-22;138.74;1;1;1Z72794R8618362115;3;;2025-01-23;19;EXW;AIR;138.74;17.80;0.00;2025-01-27;
25;73;"SENT BY SUPPLIER";1371.14;25000856;2025-01-24;2025-01-24;;2;1;;3;;2025-01-24;21;DDP;LAND;0.00;0.00;0.00;2025-01-27;
26;110;"SENT BY SUPPLIER";13877.37;N;2025-01-09;2025-01-09;;2;1;;3;;2025-01-09;21;DDP;LAND;0.00;0.00;0.00;2025-01-30;
27;91;Torrestir;11726.06;;2025-01-14;2025-01-14;148.00;1;1;;3;;2025-01-20;17;EXW;LAND;148.00;65.00;394.22;2025-01-31;
28;26;Torrestir;32391.16;;2025-01-14;2025-01-16;444.00;1;1;;3;;2025-01-21;17;EXW;LAND;444.00;65.00;0.00;2025-01-31;
29;13;Torrestir;69678.00;;2025-01-14;2025-01-14;592.00;1;1;;3;;2025-01-17;17;EXW;;592.00;65.00;0.00;2025-01-31;
30;27;"SENT BY SUPPLIER";3492.00;90319424;2025-01-30;2025-01-30;;0;0;;3;;2025-01-30;21;DDP;LAND;0.00;0.00;0.00;2025-01-31;
31;99;Torrestir;17476.00;3000223/3041408/3041407;2025-01-14;2025-01-15;275.00;2;2;;3;;2025-01-17;17;EXW;LAND;275.00;0.00;0.00;2025-01-31;
32;9;"SENT BY SUPPLIER";9035.72;PSI00105875;2025-01-27;2025-01-27;;0;0;;3;;2025-01-27;21;DDP;LAND;0.00;0.00;0.00;2025-02-03;
33;25;UPS;22022.51;;2025-03-11;2025-03-12;432.01;0;0;1Z72794R8623491403;3;;2025-03-13;19;EXW;AIR;432.01;17.80;394.48;2025-03-14;
34;81;Torrestir;5988.62;90991782/90991783;2025-01-27;2025-01-28;180.00;0;0;;3;;2025-01-30;17;EXW;LAND;180.00;0.00;0.00;2025-02-04;
35;73;"SENT BY SUPPLIER";434.49;N;2025-01-24;2025-01-24;;2;0;;3;;2025-01-24;21;DDP;LAND;0.00;0.00;0.00;2025-02-04;
36;33;DPD;19632.60;N;2025-01-27;2025-01-24;98.10;2;2;;3;;2025-01-27;5;EXW;LAND;98.10;0.00;0.00;2025-02-05;
37;82;Torrestir;5723.68;;2025-01-24;2025-01-29;120.00;2;2;;3;;2025-02-02;17;EXW;LAND;120.00;0.00;0.00;2025-02-10;
38;50;"SENT BY SUPPLIER";20085.24;32278049;2025-02-05;2025-02-05;;2;1;;3;;2025-02-05;21;DDP;LAND;0.00;0.00;0.00;2025-02-07;
39;61;Nacex;3969.84;F026341;2025-02-03;2025-02-03;;2;2;;3;;2025-03-05;11;DDP;LAND;0.00;0.00;0.00;2025-02-07;
40;27;"SENT BY SUPPLIER";4771.50;90319989;2025-02-04;2025-02-04;;2;1;;3;;2025-02-04;21;DDP;LAND;0.00;0.00;0.00;2025-02-10;
41;80;DPD;5679.36;N;2025-02-05;2025-02-03;13.10;2;2;5286000328670;3;;2025-02-05;5;EXW;LAND;13.10;0.00;0.00;2025-02-10;
42;73;"SENT BY SUPPLIER";453.74;;2025-02-05;2025-02-05;;2;0;;3;;2025-02-05;21;DDP;LAND;0.00;0.00;0.00;2025-02-11;
43;27;"SENT BY SUPPLIER";2767.50;N;2025-02-08;2025-02-08;;2;0;;3;;2025-02-08;21;DDP;LAND;0.00;0.00;0.00;2025-02-12;
